epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1739.53,0.53408,0.72883,0.98603,0.9617,0.97668,0.98943,0.84389,0.61421,0.41764,1.00249,4.5136e-05,4.5136e-05,4.5136e-05
42,1779.65,0.52415,0.68991,0.97367,0.9686,0.96793,0.98962,0.84502,0.60678,0.41442,1.00221,4.08394e-05,4.08394e-05,4.08394e-05
43,1819.86,0.51372,0.6763,0.9617,0.9698,0.97236,0.98989,0.84973,0.60567,0.40607,1.00139,3.65428e-05,3.65428e-05,3.65428e-05
44,1859.8,0.50476,0.66116,0.9609,0.97929,0.96967,0.99041,0.85038,0.60321,0.40209,0.99789,3.22462e-05,3.22462e-05,3.22462e-05
45,1900.31,0.5032,0.64509,0.95632,0.97941,0.96829,0.98971,0.85295,0.60297,0.39346,0.99814,2.79496e-05,2.79496e-05,2.79496e-05
46,1940.53,0.49917,0.63866,0.94844,0.96773,0.9714,0.98981,0.84884,0.60019,0.39058,0.99817,2.3653e-05,2.3653e-05,2.3653e-05
47,1980.11,0.49044,0.6299,0.94827,0.98057,0.9676,0.99001,0.8488,0.59887,0.38763,0.99536,1.93564e-05,1.93564e-05,1.93564e-05
48,2019.82,0.48399,0.62585,0.94701,0.97622,0.97144,0.99036,0.85225,0.60019,0.38127,0.99448,1.50598e-05,1.50598e-05,1.50598e-05
49,2059.2,0.4802,0.61344,0.94192,0.9773,0.97275,0.99043,0.84727,0.60181,0.38101,0.99428,1.07632e-05,1.07632e-05,1.07632e-05
50,2098.77,0.48027,0.6141,0.93702,0.97556,0.97072,0.99058,0.84515,0.59816,0.38117,0.99314,6.4666e-06,6.4666e-06,6.4666e-06
